exercise,language,topic
hello-world,ruby,strings
two-fer,ruby,conditionals
two-fer,ruby,strings
hamming,ruby,equality
hamming,ruby,loops
hamming,ruby,strings
gigasecond,ruby,time
rna-transcription,ruby,maps
rna-transcription,ruby,transforming
raindrops,ruby,conditionals
raindrops,ruby,filtering
raindrops,ruby,strings
difference-of-squares,ruby,algorithms
difference-of-squares,ruby,math
pangram,ruby,loops
pangram,ruby,strings
sieve,ruby,algorithms
sieve,ruby,integers
sieve,ruby,loops
sieve,ruby,math
sieve,ruby,sorting
roman-numerals,ruby,numbers
roman-numerals,ruby,transforming
nth-prime,ruby,algorithms
nth-prime,ruby,integers
nth-prime,ruby,math
leap,ruby,booleans
leap,ruby,conditionals
leap,ruby,integers
leap,ruby,logic
grains,ruby,bitwise_operations
grains,ruby,if_else_statements
grains,ruby,integers
grains,ruby,type_conversion
word-count,ruby,sorting
word-count,ruby,strings
bob,ruby,conditionals
bob,ruby,strings
run-length-encoding,ruby,parsing
run-length-encoding,ruby,strings
run-length-encoding,ruby,transforming
accumulate,ruby,lists
sum-of-multiples,ruby,loops
sum-of-multiples,ruby,math
grade-school,ruby,lists
grade-school,ruby,sorting
grade-school,ruby,structs
series,ruby,arrays
series,ruby,refactoring
series,ruby,strings
phone-number,ruby,conditionals
phone-number,ruby,regular_expressions
phone-number,ruby,strings
phone-number,ruby,text_formatting
phone-number,ruby,transforming
prime-factors,ruby,algorithms
prime-factors,ruby,integers
prime-factors,ruby,math
strain,ruby,arrays
strain,ruby,filtering
strain,ruby,loops
etl,ruby,loops
etl,ruby,maps
etl,ruby,transforming
beer-song,ruby,loops
beer-song,ruby,strings
beer-song,ruby,text_formatting
bowling,ruby,algorithms
bowling,ruby,arrays
bowling,ruby,conditionals
space-age,ruby,floating_point_numbers
space-age,ruby,if_else_statements
anagram,ruby,filtering
anagram,ruby,parsing
anagram,ruby,sorting
anagram,ruby,strings
binary-search-tree,ruby,algorithms
binary-search-tree,ruby,recursion
binary-search-tree,ruby,searching
binary-search-tree,ruby,sorting
binary-search-tree,ruby,structs
binary-search-tree,ruby,trees
crypto-square,ruby,cryptography
crypto-square,ruby,filtering
crypto-square,ruby,strings
crypto-square,ruby,text_formatting
crypto-square,ruby,transforming
clock,ruby,equality
clock,ruby,text_formatting
clock,ruby,time
alphametics,ruby,algorithms
alphametics,ruby,arrays
alphametics,ruby,searching
rail-fence-cipher,ruby,algorithms
rail-fence-cipher,ruby,cryptography
rail-fence-cipher,ruby,loops
rail-fence-cipher,ruby,sorting
rail-fence-cipher,ruby,strings
rail-fence-cipher,ruby,text_formatting
rail-fence-cipher,ruby,transforming
acronym,ruby,regular_expressions
acronym,ruby,strings
acronym,ruby,transforming
scrabble-score,ruby,loops
scrabble-score,ruby,maps
scrabble-score,ruby,strings
nucleotide-count,ruby,maps
nucleotide-count,ruby,parsing
nucleotide-count,ruby,strings
flatten-array,ruby,arrays
flatten-array,ruby,recursion
say,ruby,numbers
say,ruby,strings
say,ruby,text_formatting
say,ruby,transforming
meetup,ruby,dates
meetup,ruby,time
meetup,ruby,transforming
meetup,ruby,type_conversion
robot-name,ruby,randomness
queen-attack,ruby,booleans
queen-attack,ruby,errors
queen-attack,ruby,games
queen-attack,ruby,logic
palindrome-products,ruby,algorithms
palindrome-products,ruby,math
bracket-push,ruby,parsing
bracket-push,ruby,strings
food-chain,ruby,conditionals
food-chain,ruby,loops
food-chain,ruby,recursion
food-chain,ruby,strings
food-chain,ruby,text_formatting
matrix,ruby,arrays
matrix,ruby,exception_handling
matrix,ruby,matrices
matrix,ruby,strings
matrix,ruby,type_conversion
saddle-points,ruby,arrays
saddle-points,ruby,integers
saddle-points,ruby,matrices
saddle-points,ruby,searching
triangle,ruby,booleans
triangle,ruby,conditionals
triangle,ruby,logic
atbash-cipher,ruby,algorithms
atbash-cipher,ruby,cryptography
atbash-cipher,ruby,strings
atbash-cipher,ruby,transforming
house,ruby,recursion
house,ruby,strings
house,ruby,text_formatting
secret-handshake,ruby,arrays
secret-handshake,ruby,bitwise_operations
secret-handshake,ruby,integers
proverb,ruby,arrays
proverb,ruby,loops
proverb,ruby,strings
ocr-numbers,ruby,parsing
ocr-numbers,ruby,pattern_recognition
pig-latin,ruby,conditionals
pig-latin,ruby,strings
pig-latin,ruby,transforming
simple-linked-list,ruby,arrays
simple-linked-list,ruby,loops
luhn,ruby,algorithms
luhn,ruby,integers
luhn,ruby,strings
simple-cipher,ruby,algorithms
simple-cipher,ruby,cryptography
simple-cipher,ruby,interfaces
simple-cipher,ruby,strings
simple-cipher,ruby,transforming
wordy,ruby,conditionals
wordy,ruby,integers
wordy,ruby,parsing
wordy,ruby,strings
wordy,ruby,type_conversion
allergies,ruby,bitwise_operations
allergies,ruby,enumeration
poker,ruby,equality
poker,ruby,games
poker,ruby,parsing
poker,ruby,pattern_matching
poker,ruby,sequences
poker,ruby,strings
kindergarten-garden,ruby,parsing
kindergarten-garden,ruby,records
kindergarten-garden,ruby,searching
kindergarten-garden,ruby,strings
kindergarten-garden,ruby,structs
largest-series-product,ruby,algorithms
largest-series-product,ruby,integers
largest-series-product,ruby,math
largest-series-product,ruby,sequences
pythagorean-triplet,ruby,algorithms
pythagorean-triplet,ruby,math
scale-generator,ruby,pattern_matching
scale-generator,ruby,strings
protein-translation,ruby,filtering
protein-translation,ruby,maps
protein-translation,ruby,sequences
perfect-numbers,ruby,algorithms
perfect-numbers,ruby,filtering
perfect-numbers,ruby,integers
perfect-numbers,ruby,math
isogram,ruby,sequences
isogram,ruby,strings
isogram,ruby,regular_expressions
circular-buffer,ruby,queues
circular-buffer,ruby,structs
diamond,ruby,algorithms
diamond,ruby,conditionals
diamond,ruby,loops
diamond,ruby,strings
diamond,ruby,text_formatting
custom-set,ruby,filtering
custom-set,ruby,loops
custom-set,ruby,sets
twelve-days,ruby,algorithms
twelve-days,ruby,pattern_recognition
twelve-days,ruby,sequences
twelve-days,ruby,strings
twelve-days,ruby,text_formatting
transpose,ruby,loops
transpose,ruby,strings
transpose,ruby,transforming
pascals-triangle,ruby,algorithms
pascals-triangle,ruby,arrays
pascals-triangle,ruby,math
pascals-triangle,ruby,recursion
linked-list,ruby,data_structure
linked-list,ruby,pointer
binary-search,ruby,algorithms
binary-search,ruby,arrays
binary-search,ruby,searching
binary-search,ruby,sorting
tournament,ruby,integers
tournament,ruby,parsing
tournament,ruby,records
tournament,ruby,sorting
tournament,ruby,strings
tournament,ruby,text_formatting
tournament,ruby,transforming
minesweeper,ruby,arrays
minesweeper,ruby,games
minesweeper,ruby,loops
minesweeper,ruby,matrices
minesweeper,ruby,transforming
robot-simulator,ruby,concurrency
robot-simulator,ruby,loops
robot-simulator,ruby,sequences
robot-simulator,ruby,strings
robot-simulator,ruby,structs
all-your-base,ruby,integers
all-your-base,ruby,math
all-your-base,ruby,transforming
connect,ruby,arrays
connect,ruby,games
connect,ruby,graphs
connect,ruby,loops
connect,ruby,searching
change,ruby,algorithms
change,ruby,arrays
change,ruby,loops
change,ruby,searching
collatz-conjecture,ruby,conditionals
collatz-conjecture,ruby,control_flow_loops
collatz-conjecture,ruby,integers
collatz-conjecture,ruby,math
book-store,ruby,algorithms
book-store,ruby,floating_point_numbers
book-store,ruby,integers
book-store,ruby,lists
rotational-cipher,ruby,cryptography
rotational-cipher,ruby,integers
rotational-cipher,ruby,strings
isbn-verifier,ruby,arrays
dominoes,ruby,algorithms
dominoes,ruby,arrays
dominoes,ruby,searching
two-bucket,ruby,algorithms
two-bucket,ruby,conditionals
two-bucket,ruby,searching
list-ops,ruby,functional_programming
list-ops,ruby,lists
list-ops,ruby,recursion
list-ops,ruby,type_conversion
affine-cipher,ruby,cryptography
affine-cipher,ruby,math
affine-cipher,ruby,strings
complex-numbers,ruby,math
zipper,ruby,data_structures
hello-world,java,strings
two-fer,java,conditionals
two-fer,java,strings
reverse-string,java,strings
armstrong-numbers,java,integers
armstrong-numbers,java,math
rna-transcription,java,loops
rna-transcription,java,maps
rna-transcription,java,strings
pangram,java,pattern_matching
pangram,java,regular_expressions
pangram,java,strings
hamming,java,integers
hamming,java,loops
hamming,java,strings
gigasecond,java,dates
gigasecond,java,integers
gigasecond,java,time
space-age,java,conditionals
space-age,java,floating_point_numbers
acronym,java,loops
acronym,java,parsing
acronym,java,searching
acronym,java,strings
scrabble-score,java,games
scrabble-score,java,loops
scrabble-score,java,pattern_matching
scrabble-score,java,strings
scrabble-score,java,transforming
raindrops,java,conditionals
raindrops,java,integers
raindrops,java,strings
difference-of-squares,java,integers
difference-of-squares,java,loops
difference-of-squares,java,math
secret-handshake,java,bitwise_operations
secret-handshake,java,conditionals
secret-handshake,java,cryptography
secret-handshake,java,enumerations
secret-handshake,java,integers
secret-handshake,java,loops
secret-handshake,java,transforming
perfect-numbers,java,enumerations
perfect-numbers,java,exception_handling
perfect-numbers,java,filtering
perfect-numbers,java,integers
perfect-numbers,java,math
protein-translation,java,arrays
protein-translation,java,conditionals
protein-translation,java,loops
protein-translation,java,strings
proverb,java,arrays
proverb,java,loops
proverb,java,strings
isbn-verifier,java,integers
isbn-verifier,java,loops
isbn-verifier,java,strings
sum-of-multiples,java,arrays
sum-of-multiples,java,conditionals
sum-of-multiples,java,integers
sum-of-multiples,java,loops
sum-of-multiples,java,math
luhn,java,algorithms
luhn,java,booleans
luhn,java,loops
luhn,java,strings
luhn,java,type_conversion
matrix,java,arrays
matrix,java,integers
matrix,java,loops
matrix,java,pattern_matching
matrix,java,strings
matrix,java,type_conversion
triangle,java,booleans
triangle,java,classes
triangle,java,exception_handling
largest-series-product,java,integers
largest-series-product,java,loops
largest-series-product,java,math
largest-series-product,java,strings
largest-series-product,java,type_conversion
sieve,java,algorithms
sieve,java,integers
sieve,java,lists
sieve,java,loops
sieve,java,math
twelve-days,java,arrays
twelve-days,java,conditionals
twelve-days,java,loops
twelve-days,java,strings
rotational-cipher,java,cryptography
rotational-cipher,java,integers
rotational-cipher,java,strings
kindergarten-garden,java,arrays
kindergarten-garden,java,enumerations
kindergarten-garden,java,lists
kindergarten-garden,java,logic
kindergarten-garden,java,loops
kindergarten-garden,java,pattern_recognition
kindergarten-garden,java,strings
collatz-conjecture,java,conditionals
collatz-conjecture,java,exception_handling
collatz-conjecture,java,integers
collatz-conjecture,java,math
collatz-conjecture,java,recursion
nth-prime,java,arrays
nth-prime,java,exception_handling
nth-prime,java,integers
nth-prime,java,lists
nth-prime,java,loops
nth-prime,java,math
saddle-points,java,arrays
saddle-points,java,conditionals
saddle-points,java,integers
saddle-points,java,lists
saddle-points,java,loops
saddle-points,java,matrices
saddle-points,java,sets
error-handling,java,exception_handling
error-handling,java,optional_values
diamond,java,arrays
diamond,java,lists
diamond,java,loops
diamond,java,strings
diamond,java,text_formatting
isogram,java,conditionals
isogram,java,loops
isogram,java,parsing
isogram,java,strings
variable-length-quantity,java,bitwise_operations
variable-length-quantity,java,conditionals
variable-length-quantity,java,exception_handling
variable-length-quantity,java,lists
variable-length-quantity,java,loops
variable-length-quantity,java,transforming
flatten-array,java,arrays
flatten-array,java,lists
flatten-array,java,loops
flatten-array,java,recursion
pig-latin,java,arrays
pig-latin,java,lists
pig-latin,java,strings
pig-latin,java,transforming
phone-number,java,conditionals
phone-number,java,pattern_matching
phone-number,java,regular_expressions
phone-number,java,strings
nucleotide-count,java,conditionals
nucleotide-count,java,exception_handling
nucleotide-count,java,integers
nucleotide-count,java,maps
nucleotide-count,java,parsing
nucleotide-count,java,searching
nucleotide-count,java,strings
word-count,java,conditionals
word-count,java,integers
word-count,java,loops
word-count,java,maps
word-count,java,strings
run-length-encoding,java,integers
run-length-encoding,java,pattern_matching
run-length-encoding,java,strings
run-length-encoding,java,transforming
robot-name,java,pattern_matching
robot-name,java,randomness
robot-name,java,regular_expressions
robot-name,java,strings
robot-name,java,text_formatting
prime-factors,java,arrays
prime-factors,java,conditionals
prime-factors,java,integers
prime-factors,java,lists
prime-factors,java,loops
prime-factors,java,math
allergies,java,booleans
allergies,java,conditionals
allergies,java,enumerations
allergies,java,integers
allergies,java,lists
allergies,java,loops
bob,java,booleans
bob,java,conditionals
bob,java,strings
pascals-triangle,java,algorithms
pascals-triangle,java,arrays
pascals-triangle,java,exception_handling
pascals-triangle,java,integers
pascals-triangle,java,math
pascals-triangle,java,matrices
bracket-push,java,stacks
bracket-push,java,strings
series,java,conditionals
series,java,lists
series,java,loops
series,java,strings
series,java,type_conversion
atbash-cipher,java,cryptography
atbash-cipher,java,security
atbash-cipher,java,strings
grep,java,files
grep,java,filtering
grep,java,pattern_matching
grep,java,searching
grep,java,strings
alphametics,java,conditionals
alphametics,java,logic
spiral-matrix,java,arrays
spiral-matrix,java,integers
spiral-matrix,java,loops
spiral-matrix,java,matrices
roman-numerals,java,integers
roman-numerals,java,logic
roman-numerals,java,loops
roman-numerals,java,maps
roman-numerals,java,strings
transpose,java,arrays
transpose,java,lists
transpose,java,loops
transpose,java,matrices
transpose,java,strings
transpose,java,text_formatting
house,java,arrays
house,java,conditionals
house,java,loops
house,java,strings
house,java,text_formatting
food-chain,java,arrays
food-chain,java,lists
food-chain,java,strings
beer-song,java,conditionals
beer-song,java,loops
beer-song,java,strings
beer-song,java,text_formatting
beer-song,java,variables
queen-attack,java,arrays
queen-attack,java,classes
queen-attack,java,conditionals
queen-attack,java,games
queen-attack,java,matrices
etl,java,lists
etl,java,maps
etl,java,transforming
grade-school,java,conditionals
grade-school,java,lists
grade-school,java,maps
grade-school,java,sorting
grade-school,java,strings
robot-simulator,java,classes
robot-simulator,java,enumerations
robot-simulator,java,logic
robot-simulator,java,loops
binary-search,java,arrays
binary-search,java,generics
binary-search,java,recursion
binary-search,java,searching
minesweeper,java,conditionals
minesweeper,java,games
minesweeper,java,integers
minesweeper,java,lists
minesweeper,java,matrices
minesweeper,java,strings
wordy,java,exception_handling
wordy,java,integers
wordy,java,logic
wordy,java,parsing
wordy,java,pattern_matching
wordy,java,regular_expressions
wordy,java,strings
wordy,java,transforming
all-your-base,java,arrays
all-your-base,java,conditionals
all-your-base,java,exception_handling
all-your-base,java,integers
all-your-base,java,loops
all-your-base,java,math
bank-account,java,concurrency
bank-account,java,exception_handling
bank-account,java,integers
bowling,java,conditionals
bowling,java,exception_handling
bowling,java,games
bowling,java,integers
linked-list,java,algorithms
linked-list,java,generics
linked-list,java,lists
tournament,java,loops
tournament,java,maps
tournament,java,parsing
tournament,java,sorting
tournament,java,text_formatting
parallel-letter-frequency,java,concurrency
parallel-letter-frequency,java,maps
parallel-letter-frequency,java,strings
rail-fence-cipher,java,conditionals
rail-fence-cipher,java,loops
rail-fence-cipher,java,strings
two-bucket,java,algorithms
two-bucket,java,conditionals
two-bucket,java,loops
anagram,java,arrays
anagram,java,conditionals
anagram,java,equality
anagram,java,lists
anagram,java,loops
anagram,java,strings
sublist,java,enumeration
sublist,java,generics
sublist,java,lists
sublist,java,loops
sublist,java,searching
word-search,java,games
word-search,java,logic
word-search,java,matrices
word-search,java,pattern_matching
word-search,java,searching
word-search,java,strings
simple-linked-list,java,algorithms
simple-linked-list,java,exception_handling
simple-linked-list,java,generics
simple-linked-list,java,lists
binary-search-tree,java,generics
binary-search-tree,java,graphs
binary-search-tree,java,searching
binary-search-tree,java,sorting
binary-search-tree,java,trees
meetup,java,conditionals
meetup,java,dates
meetup,java,enumerations
meetup,java,loops
crypto-square,java,cryptography
crypto-square,java,lists
crypto-square,java,security
crypto-square,java,strings
crypto-square,java,text_formatting
markdown,java,conditionals
markdown,java,pattern_matching
markdown,java,refactoring
markdown,java,strings
poker,java,games
poker,java,parsing
poker,java,sorting
clock,java,equality
clock,java,integers
clock,java,logic
clock,java,object_oriented_programming
clock,java,strings
clock,java,time
zipper,java,integer
zipper,java,links
zipper,java,nodes
zipper,java,tree
go-counting,java,algorithms
go-counting,java,conditionals
go-counting,java,games
go-counting,java,loops
dominoes,java,algorithms
dominoes,java,exception_handling
dominoes,java,games
dominoes,java,lists
ocr-numbers,java,exception_handling
ocr-numbers,java,lists
ocr-numbers,java,loops
ocr-numbers,java,parsing
ocr-numbers,java,strings
circular-buffer,java,classes
circular-buffer,java,exception_handling
circular-buffer,java,queues
rectangles,java,arrays
rectangles,java,logic
rectangles,java,pattern_recognition
rectangles,java,strings
book-store,java,algorithms
book-store,java,floating_point_numbers
book-store,java,integers
book-store,java,lists
diffie-hellman,java,algorithms
diffie-hellman,java,integers
diffie-hellman,java,math
diffie-hellman,java,transforming
simple-cipher,java,cryptography
simple-cipher,java,exception_handling
simple-cipher,java,randomness
simple-cipher,java,security
simple-cipher,java,strings
complex-numbers,java,floating_point_numbers
complex-numbers,java,math
rational-numbers,java,algorithms
rational-numbers,java,floating_point_numbers
rational-numbers,java,math
list-ops,java,filtering
list-ops,java,functional_programming
list-ops,java,generics
list-ops,java,lists
list-ops,java,loops
change,java,algorithms
change,java,exception_handling
change,java,integers
change,java,lists
palindrome-products,java,conditionals
palindrome-products,java,integers
palindrome-products,java,lists
palindrome-products,java,loops
palindrome-products,java,maps
palindrome-products,java,math
pythagorean-triplet,java,integer
pythagorean-triplet,java,lists
pythagorean-triplet,java,logic
pythagorean-triplet,java,math
forth,java,exception_handling
forth,java,lists
forth,java,logic
forth,java,parsing
forth,java,stacks
forth,java,strings
custom-set,java,equality
custom-set,java,generics
custom-set,java,sets
hello-world,coffeescript,conditionals
hello-world,coffeescript,control_flow_if_statements
hello-world,coffeescript,optional_values
hello-world,coffeescript,text_formatting
bob,coffeescript,conditionals
bob,coffeescript,control_flow_switch
bob,coffeescript,text_formatting
word-count,coffeescript,maps
word-count,coffeescript,strings
word-count,coffeescript,text_formatting
word-count,coffeescript,transforming
word-count,coffeescript,variables
accumulate,coffeescript,arrays
accumulate,coffeescript,maps
accumulate,coffeescript,transforming
binary,coffeescript,integers
binary,coffeescript,math
binary,coffeescript,transforming
anagram,coffeescript,sorting
anagram,coffeescript,strings
anagram,coffeescript,text_formatting
trinary,coffeescript,integers
trinary,coffeescript,math
trinary,coffeescript,transforming
hexadecimal,coffeescript,integers
hexadecimal,coffeescript,math
hexadecimal,coffeescript,transforming
triangle,coffeescript,arrays
triangle,coffeescript,equality
luhn,coffeescript,algorithms
luhn,coffeescript,arrays
luhn,coffeescript,integers
luhn,coffeescript,pattern_recognition
binary-search-tree,coffeescript,algorithms
binary-search-tree,coffeescript,arrays
binary-search-tree,coffeescript,integers
binary-search-tree,coffeescript,trees
nth-prime,coffeescript,arrays
nth-prime,coffeescript,filter
nth-prime,coffeescript,loops
nth-prime,coffeescript,map
nth-prime,coffeescript,math
palindrome-products,coffeescript,arrays
palindrome-products,coffeescript,integers
palindrome-products,coffeescript,math
queen-attack,coffeescript,algorithms
queen-attack,coffeescript,arrays
queen-attack,coffeescript,games
queen-attack,coffeescript,logic
wordy,coffeescript,integers
wordy,coffeescript,pattern_recognition
wordy,coffeescript,regular_expressions
wordy,coffeescript,strings
clock,coffeescript,integers
clock,coffeescript,loops
clock,coffeescript,text_formatting
beer-song,coffeescript,control_flow_switch
beer-song,coffeescript,loops
beer-song,coffeescript,text_formatting
atbash-cipher,coffeescript,arrays
atbash-cipher,coffeescript,cryptography
atbash-cipher,coffeescript,strings
atbash-cipher,coffeescript,text_formatting
linked-list,coffeescript,algorithms
linked-list,coffeescript,classes
linked-list,coffeescript,object_oriented_programming
linked-list,coffeescript,variables
pascals-triangle,coffeescript,algorithms
pascals-triangle,coffeescript,arrays
pascals-triangle,coffeescript,integers
pascals-triangle,coffeescript,math
nucleotide-count,coffeescript,filtering
nucleotide-count,coffeescript,maps
nucleotide-count,coffeescript,strings
hello-world,elixir,strings
nucleotide-count,elixir,enumerables
nucleotide-count,elixir,maps
nucleotide-count,elixir,string_processing
secret-handshake,elixir,binary_representation
rotational-cipher,elixir,string_processing
strain,elixir,collections
protein-translation,elixir,pattern_matching
protein-translation,elixir,string_processing
pig-latin,elixir,pattern_matching
pig-latin,elixir,string_processing
space-age,elixir,pattern_matching
bob,elixir,control_flow
bob,elixir,string_processing
twelve-days,elixir,enumerations
twelve-days,elixir,reduce
twelve-days,elixir,string_formatting
word-count,elixir,lists
word-count,elixir,maps
word-count,elixir,reduce
accumulate,elixir,recursion
accumulate,elixir,reduce
acronym,elixir,string_processing
series,elixir,string_processing
raindrops,elixir,conditionals
run-length-encoding,elixir,algorithms
run-length-encoding,elixir,strings
sublist,elixir,enumeration
sublist,elixir,lists
scrabble-score,elixir,reduce
sum-of-multiples,elixir,algorithms
sum-of-multiples,elixir,math
sum-of-multiples,elixir,reduce
pangram,elixir,enumerations
pangram,elixir,strings
simple-linked-list,elixir,recursion
anagram,elixir,enumeration
anagram,elixir,filter
matrix,elixir,string_processing
matrix,elixir,structs
bracket-push,elixir,algorithms
bracket-push,elixir,enumeration
bracket-push,elixir,reduce
rna-transcription,elixir,strings
phone-number,elixir,pattern_matching
phone-number,elixir,string_processing
nth-prime,elixir,algorithms
nth-prime,elixir,math
nth-prime,elixir,recursion
roman-numerals,elixir,algorithms
roman-numerals,elixir,pattern_matching
all-your-base,elixir,math
all-your-base,elixir,numbers
all-your-base,elixir,translation
hamming,elixir,string_processing
triangle,elixir,algorithms
beer-song,elixir,pattern_matching
beer-song,elixir,recursion
isogram,elixir,algorithms
isogram,elixir,reduce
grade-school,elixir,maps
tournament,elixir,formatting
tournament,elixir,sorting
tournament,elixir,string_processing
list-ops,elixir,enumeration
list-ops,elixir,lists
list-ops,elixir,recursion
flatten-array,elixir,lists
flatten-array,elixir,recursion
leap,elixir,algorithms
kindergarten-garden,elixir,string_processing
etl,elixir,enumeration
etl,elixir,string_processing
meetup,elixir,calendar
meetup,elixir,pattern_matching
meetup,elixir,time
grains,elixir,recursion
grains,elixir,reduce
change,elixir,enumeration
change,elixir,reduce
parallel-letter-frequency,elixir,concurrency
parallel-letter-frequency,elixir,otp
binary,elixir,binary_operators
binary,elixir,math
scale-generator,elixir,enumerations
scale-generator,elixir,string_processing
luhn,elixir,enumeration
luhn,elixir,string_processing
markdown,elixir,refactoring
gigasecond,elixir,calendar
gigasecond,elixir,time
queen-attack,elixir,algorithms
queen-attack,elixir,structs
pascals-triangle,elixir,algorithms
pascals-triangle,elixir,enumeration
pascals-triangle,elixir,math
saddle-points,elixir,enumeration
saddle-points,elixir,matricies
saddle-points,elixir,string_processing
hexadecimal,elixir,math
hexadecimal,elixir,numbers
hexadecimal,elixir,string_processing
diamond,elixir,algorithms
diamond,elixir,enumeration
binary-search,elixir,algorithms
binary-search,elixir,recursion
binary-search-tree,elixir,algorithms
binary-search-tree,elixir,trees
prime-factors,elixir,math
prime-factors,elixir,pattern_matching
prime-factors,elixir,recursion
perfect-numbers,elixir,enumeration
perfect-numbers,elixir,math
perfect-numbers,elixir,pattern_matching
diffie-hellman,elixir,math
sieve,elixir,enumeration
sieve,elixir,math
wordy,elixir,parsers
robot-simulator,elixir,otp
robot-simulator,elixir,pattern_matching
robot-simulator,elixir,structs
atbash-cipher,elixir,encryption
simple-cipher,elixir,encryption
simple-cipher,elixir,string_processing
bank-account,elixir,otp
largest-series-product,elixir,enumeration
largest-series-product,elixir,math
largest-series-product,elixir,recursion
crypto-square,elixir,algorithms
crypto-square,elixir,encryption
pythagorean-triplet,elixir,algorithms
pythagorean-triplet,elixir,math
pythagorean-triplet,elixir,reduce
allergies,elixir,binary_operators
allergies,elixir,enumeration
palindrome-products,elixir,math
palindrome-products,elixir,reduce
rail-fence-cipher,elixir,encryption
rail-fence-cipher,elixir,string_processing
zipper,elixir,algorithms
zipper,elixir,recursion
zipper,elixir,structs
zipper,elixir,trees
minesweeper,elixir,algorithms
minesweeper,elixir,enumeration
minesweeper,elixir,reduce
connect,elixir,reduce
connect,elixir,string_processing
difference-of-squares,elixir,math
difference-of-squares,elixir,reduce
poker,elixir,sorting
bowling,elixir,algorithms
bowling,elixir,pattern_matching
bowling,elixir,structs
dot-dsl,elixir,graphs
dot-dsl,elixir,structs
custom-set,elixir,collections
custom-set,elixir,enumeration
forth,elixir,parsers
clock,elixir,integers
clock,elixir,logic
clock,elixir,protocols
clock,elixir,structs
clock,elixir,transforming
grep,elixir,enumerations
grep,elixir,strings
say,elixir,pattern_matching
ocr-numbers,elixir,enumerations
ocr-numbers,elixir,strings
collatz-conjecture,elixir,math
collatz-conjecture,elixir,recursion
dominoes,elixir,algorithms
dominoes,elixir,enumerations
dominoes,elixir,recursion
dominoes,elixir,sorting
dominoes,elixir,trees
transpose,elixir,strings
transpose,elixir,transforming
isbn-verifier,elixir,string_processing
spiral-matrix,elixir,lists
spiral-matrix,elixir,transforming
alphametics,elixir,algorithms
alphametics,elixir,backtracking
alphametics,elixir,strings
two-fer,elixir,strings
armstrong-numbers,elixir,algorithms
armstrong-numbers,elixir,math
hello-world,DEPRECATED.javascript,control_flow_conditionals
hello-world,DEPRECATED.javascript,optional_values
hello-world,DEPRECATED.javascript,strings
hello-world,DEPRECATED.javascript,text_formatting
two-fer,DEPRECATED.javascript,control_flow_conditionals
two-fer,DEPRECATED.javascript,strings
leap,DEPRECATED.javascript,booleans
leap,DEPRECATED.javascript,integers
leap,DEPRECATED.javascript,logic
reverse-string,DEPRECATED.javascript,for
reverse-string,DEPRECATED.javascript,loops
reverse-string,DEPRECATED.javascript,strings
rna-transcription,DEPRECATED.javascript,strings
rna-transcription,DEPRECATED.javascript,transforming
simple-cipher,DEPRECATED.javascript,algorithms
simple-cipher,DEPRECATED.javascript,control_flow_conditionals
simple-cipher,DEPRECATED.javascript,control_flow_loops
simple-cipher,DEPRECATED.javascript,mathematics
simple-cipher,DEPRECATED.javascript,randomness
simple-cipher,DEPRECATED.javascript,strings
simple-cipher,DEPRECATED.javascript,text_formatting
simple-cipher,DEPRECATED.javascript,transforming
pangram,DEPRECATED.javascript,algorithms
pangram,DEPRECATED.javascript,control_flow_conditionals
pangram,DEPRECATED.javascript,control_flow_loops
pangram,DEPRECATED.javascript,lists
pangram,DEPRECATED.javascript,maps
pangram,DEPRECATED.javascript,searching
pangram,DEPRECATED.javascript,strings
bob,DEPRECATED.javascript,control_flow_conditionals
bob,DEPRECATED.javascript,pattern_recognition
bob,DEPRECATED.javascript,polymorfism
bob,DEPRECATED.javascript,regular_expressions
bob,DEPRECATED.javascript,strings
bob,DEPRECATED.javascript,unicode
gigasecond,DEPRECATED.javascript,time
space-age,DEPRECATED.javascript,classes
space-age,DEPRECATED.javascript,floating_point_numbers
space-age,DEPRECATED.javascript,mathematics
binary,DEPRECATED.javascript,control_flow_conditionals
binary,DEPRECATED.javascript,control_flow_loops
binary,DEPRECATED.javascript,exception_handling
binary,DEPRECATED.javascript,integers
binary,DEPRECATED.javascript,mathematics
binary,DEPRECATED.javascript,regular_expressions
binary,DEPRECATED.javascript,strings
prime-factors,DEPRECATED.javascript,algorithms
prime-factors,DEPRECATED.javascript,control_flow_conditionals
prime-factors,DEPRECATED.javascript,control_flow_loops
prime-factors,DEPRECATED.javascript,integers
prime-factors,DEPRECATED.javascript,mathematics
matrix,DEPRECATED.javascript,arrays
matrix,DEPRECATED.javascript,control_flow_conditionals
matrix,DEPRECATED.javascript,control_flow_loops
matrix,DEPRECATED.javascript,data_structures
matrix,DEPRECATED.javascript,matrices
matrix,DEPRECATED.javascript,text_formatting
linked-list,DEPRECATED.javascript,algorithms
linked-list,DEPRECATED.javascript,arrays
linked-list,DEPRECATED.javascript,control_flow_conditionals
linked-list,DEPRECATED.javascript,control_flow_loops
linked-list,DEPRECATED.javascript,data_structures
linked-list,DEPRECATED.javascript,lists
linked-list,DEPRECATED.javascript,optional_values
pascals-triangle,DEPRECATED.javascript,control_flow_conditionals
pascals-triangle,DEPRECATED.javascript,control_flow_loops
pascals-triangle,DEPRECATED.javascript,mathematics
pascals-triangle,DEPRECATED.javascript,strings
